Tid,@Name,DrinkType,DrinkTempType,DrinkMaterial1,DrinkMaterial2,DrinkMaterial3,DrinkMaterial4,DrinkMaterial5
int,@string,Enum(eDrinkType),Enum(eDrinkTempType),int,int,int,int,int
@아이디,@음료명,@음료타입,@가격,@음료온도타입,@음료재료1,@음료재료2,@음료재료3,@음료재료4,@음료재료5
10001,@아이스 아메리카노,Coffee,Ice,100001,100003,0,0,0
10002,@핫 아메리카노,Coffee,Hot,100001,100003,0,0,0
10003,@아이스 헤이즐넛 라떼,Coffee,Ice,100003,100002,100004,0,0
10004,@핫 헤이즐넛 라떼,Coffee,Hot,100003,100002,100004,0,0
10005,@아이스 바닐라 라떼,Coffee,Ice,100003,100002,100005,0,0
10006,@핫 바닐라 라떼,Coffee,Hot,100003,100002,100005,0,0
10007,@아이스 카페모카,Coffee,Ice,100003,100002,100007,0,0
10008,@핫 카페모카,Coffee,Hot,100003,100002,100007,0,0
10009,@아이스 카라멜 마키아토,Coffee,Ice,100003,100002,100005,100006,0
10010,@핫 카라멜 마키아토,Coffee,Hot,100003,100002,100005,100006,0
10011,@아이스 카푸치노,Coffee,Ice,100003,100002,0,0,0
10012,@핫 카푸치노,Coffee,Hot,100003,100002,0,0,0
